1 > src/solve.c:301
1 = src/solve.c:302
2 = src/solve.c:407
2 = src/solve.c:487
2 = src/solve.c:525
2 = src/solve.c:561
2 = src/solve.c:573
1 = src/solve.c:288
2 = src/solve.c:634
1 = src/solve.c:302
3 = src/solve.c:407
2 = src/solve.c:678
2 = src/solve.c:765
1 = src/solve.c:288
3 = src/solve.c:487
3 = src/solve.c:525
3 = src/solve.c:561
3 = src/solve.c:573
3 = src/solve.c:634
3 = src/solve.c:678
1 = src/solve.c:302
4 = src/solve.c:407
3 = src/solve.c:765
3 = src/solve.c:842
2 = src/solve.c:842
4 = src/solve.c:487
4 = src/solve.c:525
2 = src/fo.c:51
1 = src/solve.c:308
4 = src/solve.c:561
3 = src/fo.c:51
2 = src/malloc.c:301
2 = src/malloc.c:305
1 = src/solve.c:407
4 = src/solve.c:573
1 = src/solve.c:487
2 = src/malloc.c:318
1 = src/solve.c:525
3 = src/malloc.c:301
2 = src/malloc.c:81
4 = src/solve.c:634
3 = src/malloc.c:305
2 = src/malloc.c:87
1 = src/solve.c:561
2 = src/malloc.c:89
2 = src/malloc.c:95
2 = src/malloc.c:190
3 = src/malloc.c:318
2 = src/malloc.c:190
4 = src/solve.c:678
2 = src/malloc.c:190
4 = src/solve.c:765
1 = src/solve.c:573
3 = src/malloc.c:81
2 = src/malloc.c:190
2 = src/malloc.c:190
1 = src/solve.c:634
4 = src/solve.c:842
2 = src/malloc.c:190
4 = src/fo.c:51
2 = src/malloc.c:190
2 = src/malloc.c:190
1 = src/solve.c:678
3 = src/malloc.c:87
1 = src/solve.c:765
3 = src/malloc.c:90
3 = src/malloc.c:95
4 = src/malloc.c:301
2 = src/malloc.c:190
1 = src/solve.c:842
1 = src/fo.c:51
3 = src/malloc.c:190
1 = src/malloc.c:301
4 = src/malloc.c:305
1 = src/malloc.c:305
1 = src/malloc.c:318
3 = src/malloc.c:190
4 = src/malloc.c:318
1 = src/malloc.c:81
3 = src/malloc.c:190
2 = src/malloc.c:190
4 = src/malloc.c:81
1 = src/malloc.c:87
1 = src/malloc.c:95
4 = src/malloc.c:87
1 = src/malloc.c:190
3 = src/malloc.c:190
2 = src/malloc.c:190
4 = src/malloc.c:95
1 = src/malloc.c:190
1 = src/malloc.c:190
1 = src/malloc.c:190
4 = src/malloc.c:190
4 = src/malloc.c:190
1 = src/malloc.c:190
1 = src/malloc.c:190
4 = src/malloc.c:190
1 = src/malloc.c:190
2 = src/malloc.c:190
2 = src/malloc.c:192
1 = src/malloc.c:190
2 = src/malloc.c:290
2 = src/malloc.c:291
4 = src/malloc.c:190
3 = src/malloc.c:190
3 = src/malloc.c:193
3 = src/malloc.c:190
4 = src/malloc.c:190
1 = src/malloc.c:190
3 = src/malloc.c:190
1 = src/malloc.c:190
3 = src/malloc.c:190
2 = src/malloc.c:337
2 = src/malloc.c:352
1 = src/malloc.c:190
3 = src/malloc.c:190
2 = src/malloc.c:363
2 = src/malloc.c:371
2 = src/malloc.c:372
1 = src/malloc.c:190
2 = src/malloc.c:382
3 = src/malloc.c:190
3 = src/malloc.c:190
3 = src/malloc.c:190
2 = src/malloc.c:383
4 = src/malloc.c:190
1 = src/malloc.c:290
2 = src/malloc.c:384
3 = src/malloc.c:290
1 = src/malloc.c:291
2 = src/malloc.c:388
4 = src/malloc.c:190
3 = src/malloc.c:291
4 = src/malloc.c:190
3 = src/malloc.c:337
3 = src/malloc.c:352
1 = src/malloc.c:337
4 = src/malloc.c:190
3 = src/malloc.c:363
3 = src/malloc.c:371
3 = src/malloc.c:372
4 = src/malloc.c:190
1 = src/malloc.c:352
4 = src/malloc.c:190
3 = src/malloc.c:382
1 = src/malloc.c:363
3 = src/malloc.c:383
4 = src/malloc.c:190
3 = src/malloc.c:384
4 = src/malloc.c:290
3 = src/malloc.c:388
1 = src/malloc.c:371
4 = src/malloc.c:291
1 = src/malloc.c:372
3 = src/malloc.c:399
4 = src/malloc.c:337
4 = src/malloc.c:352
1 = src/malloc.c:382
3 = src/malloc.c:410
1 = src/malloc.c:383
2 = src/malloc.c:399
2 = src/malloc.c:410
3 = src/malloc.c:418
2 = src/malloc.c:418
2 = src/malloc.c:423
3 = src/malloc.c:423
3 = src/malloc.c:436
2 = src/malloc.c:436
2 = src/malloc.c:448
4 = src/malloc.c:363
3 = src/malloc.c:448
3 = src/malloc.c:469
3 = src/malloc.c:474
4 = src/malloc.c:371
4 = src/malloc.c:372
1 = src/malloc.c:384
2 = src/malloc.c:469
3 = src/malloc.c:475
3 = src/malloc.c:495
1 = src/malloc.c:388
1 = src/malloc.c:399
4 = src/malloc.c:382
2 = src/malloc.c:474
4 = src/malloc.c:383
2 = src/malloc.c:475
3 = src/malloc.c:502
3 = src/malloc.c:505
2 = src/malloc.c:495
2 = src/malloc.c:502
2 = src/malloc.c:505
1 = src/malloc.c:410
1 = src/malloc.c:418
4 = src/malloc.c:384
1 = src/malloc.c:423
4 = src/malloc.c:388
4 = src/malloc.c:399
4 = src/malloc.c:410
4 = src/malloc.c:418
4 = src/malloc.c:423
1 = src/malloc.c:436
2 = src/malloc.c:506
4 = src/malloc.c:425
1 = src/malloc.c:448
1 = src/malloc.c:450
2 = src/malloc.c:538
3 = src/malloc.c:506
4 = src/malloc.c:436
3 = src/malloc.c:538
2 = src/malloc.c:542
4 = src/malloc.c:448
2 = src/malloc.c:546
2 = src/malloc.c:550
1 = src/malloc.c:469
1 = src/malloc.c:474
3 = src/malloc.c:542
1 = src/malloc.c:475
4 = src/malloc.c:469
1 = src/malloc.c:495
2 = src/malloc.c:551
1 = src/malloc.c:502
4 = src/malloc.c:474
1 = src/malloc.c:505
2 = src/fo.c:52
2 = src/malloc.c:301
4 = src/malloc.c:475
4 = src/malloc.c:495
1 = src/malloc.c:506
2 = src/malloc.c:305
1 = src/malloc.c:538
2 = src/malloc.c:318
2 = src/malloc.c:81
1 = src/malloc.c:542
4 = src/malloc.c:502
2 = src/malloc.c:87
2 = src/malloc.c:95
2 = src/malloc.c:190
3 = src/malloc.c:546
4 = src/malloc.c:505
1 = src/malloc.c:546
2 = src/malloc.c:190
2 = src/malloc.c:190
3 = src/malloc.c:550
1 = src/malloc.c:550
2 = src/malloc.c:190
3 = src/malloc.c:551
2 = src/malloc.c:190
2 = src/malloc.c:190
4 = src/malloc.c:506
3 = src/fo.c:52
1 = src/malloc.c:551
3 = src/malloc.c:301
4 = src/malloc.c:538
4 = src/malloc.c:542
1 = src/fo.c:52
1 = src/malloc.c:301
3 = src/malloc.c:305
1 = src/malloc.c:305
3 = src/malloc.c:318
1 = src/malloc.c:318
4 = src/malloc.c:546
4 = src/malloc.c:550
4 = src/malloc.c:551
4 = src/fo.c:52
1 = src/malloc.c:81
1 = src/malloc.c:87
1 = src/malloc.c:95
2 = src/malloc.c:190
2 = src/malloc.c:190
2 = src/malloc.c:190
4 = src/malloc.c:301
2 = src/malloc.c:190
3 = src/malloc.c:81
2 = src/malloc.c:190
2 = src/malloc.c:190
4 = src/malloc.c:305
1 = src/malloc.c:190
3 = src/malloc.c:87
4 = src/malloc.c:318
4 = src/malloc.c:81
2 = src/malloc.c:290
1 = src/malloc.c:190
2 = src/malloc.c:291
2 = src/malloc.c:337
2 = src/malloc.c:352
1 = src/malloc.c:190
3 = src/malloc.c:95
4 = src/malloc.c:87
4 = src/malloc.c:95
2 = src/malloc.c:363
2 = src/malloc.c:371
3 = src/malloc.c:190
2 = src/malloc.c:372
1 = src/malloc.c:190
1 = src/malloc.c:190
3 = src/malloc.c:190
2 = src/malloc.c:382
1 = src/malloc.c:190
4 = src/malloc.c:190
1 = src/malloc.c:190
1 = src/malloc.c:190
1 = src/malloc.c:190
4 = src/malloc.c:190
4 = src/malloc.c:190
1 = src/malloc.c:190
1 = src/malloc.c:190
3 = src/malloc.c:190
3 = src/malloc.c:190
1 = src/malloc.c:190
2 = src/malloc.c:383
1 = src/malloc.c:290
3 = src/malloc.c:194
2 = src/malloc.c:384
1 = src/malloc.c:291
2 = src/malloc.c:388
4 = src/malloc.c:190
2 = src/malloc.c:399
1 = src/malloc.c:337
2 = src/malloc.c:410
1 = src/malloc.c:352
3 = src/malloc.c:190
